COMUNE,PROVINCIA,REGIONE,COD_REG,COD_PRO,PRO_COM
Agordo,Belluno,Veneto,5,25,25001
Aldino,Bolzano,Trentino Alto Adige,4,21,21001
Alleghe,Belluno,Veneto,5,25,25003
Ampezzo,Udine,Friuli Venezia Giulia,6,30,30003
Andalo,Trento,Trentino Alto Adige,4,22,22005
Andreis,Pordenone,Friuli Venezia Giulia,6,93,93001
Auronzo di Cadore,Belluno,Veneto,5,25,25005
Badia,Bolzano,Trentino Alto Adige,4,21,21006
Barcis,Pordenone,Friuli Venezia Giulia,6,93,93006
Belluno,Belluno,Veneto,5,25,25006
Borca di Cadore,Belluno,Veneto,5,25,25007
Braies,Bolzano,Trentino Alto Adige,4,21,21009
Calalzo di Cadore,Belluno,Veneto,5,25,25008
Campitello di Fassa,Trento,Trentino Alto Adige,4,22,22036
Campodenno,Trento,Trentino Alto Adige,4,22,22037
Canale d'Agordo,Belluno,Veneto,5,25,25023
Canazei,Trento,Trentino Alto Adige,4,22,22039
Castelrotto,Bolzano,Trentino Alto Adige,4,21,21019
Cavedago,Trento,Trentino Alto Adige,4,22,22052
Cencenighe Agordino,Belluno,Veneto,5,25,25010
Cesiomaggiore,Belluno,Veneto,5,25,25011
Cimolais,Pordenone,Friuli Venezia Giulia,6,93,93014
Claut,Pordenone,Friuli Venezia Giulia,6,93,93015
Colle Santa Lucia,Belluno,Veneto,5,25,25014
Comano Terme,Trento,Trentino Alto Adige,4,22,22228
Comelico Superiore,Belluno,Veneto,5,25,25015
Cortina d'Ampezzo,Belluno,Veneto,5,25,25016
Corvara in Badia,Bolzano,Trentino Alto Adige,4,21,21026
Dobbiaco,Bolzano,Trentino Alto Adige,4,21,21028
Domegge di Cadore,Belluno,Veneto,5,25,25018
Erto e Casso,Pordenone,Friuli Venezia Giulia,6,93,93019
Falcade,Belluno,Veneto,5,25,25019
Feltre,Belluno,Veneto,5,25,25021
Fiè allo Sciliar,Bolzano,Trentino Alto Adige,4,21,21031
